C1,C1S,C2,C2S,GI,DP,LOC,EVENT,ZONE
CAF,48,ANG,78,3,2021.11.28,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,76,CAF,60,6,2022.07.03,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,57,ANG,56,1,2021.11.26,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
CAF,64,CIV,92,2,2021.11.27,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,73,CIV,75,4,2022.07.01,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,73,CAF,63,5,2022.07.02,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
COD,69,CMR,71,7,2022.08.26,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,85,COD,56,10,2023.02.24,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,58,ANG,65,6,2022.08.27,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
CIV,77,CPV,69,7,2022.08.28,"City, Arena: Abidjan (CIV), Palais des Sports de Treichville",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,80,CPV,67,9,2023.02.25,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
CPV,79,CIV,64,10,2023.02.26,"City, Arena: Luanda (ANG), Pavilhao Multiusos de Luanda",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,62,COD,51,3,2022.02.27,"City, Arena: Dakar (SEN), Dakar Arena",FIBA World Cup 2023 Qualifier Africa,Africa
COD,52,EGY,80,6,2022.07.03,"City, Arena: Alexandria (EGY), Borg Elarab Arena",FIBA World Cup 2023 Qualifier Africa,Africa
CMR,74,EGY,86,8,2022.08.27,"City, Arena: Monastir (TUN), Salle Mohamed Mzali",FIBA World Cup 2023 Qualifier Africa,Africa
EGY,63,CMR,71,11,2023.02.25,"City, Arena: Alexandria (EGY), Al Ittihad Stadium",FIBA World Cup 2023 Qualifier Africa,Africa
GUI,76,CAF,71,1,2021.11.26,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
ANG,75,GUI,59,2,2021.11.27,"City, Arena: Benguela (ANG), Pavilhão Multiusos Acácias Rubras",FIBA World Cup 2023 Qualifier Africa,Africa
